name,city,description,rating,keywords,name_raw,city_raw,description_raw,content,maps_link
nha tho go kon tum,kon tum,mot bieu tuong cua kon tum mang kien truc doc dao pha tron giua phong cach roman va net van hoa tay nguyen,4.4/5,ton giao tham quan chup anh van hoa,Nhà Thờ Gỗ Kon Tum,Kon Tum,Một biểu tượng của Kon Tum mang kiến trúc độc đáo pha trộn giữa phong cách Roman và nét văn hóa Tây Nguyên,nha tho go kon tum kon tum mot bieu tuong cua kon tum mang kien truc doc dao pha tron giua phong cach roman va net van hoa tay nguyen ton giao tham quan chup anh van hoa ton giao tham quan chup anh van hoa,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20Th%E1%BB%9D%20G%E1%BB%97%20Kon%20Tum%20Kon%20Tum
cau treo kon klor,kon tum,cay cau treo lon va dep nhat o kon tum bac qua song dak bla duoc bao quanh boi nhung canh dong lua va nui rung xanh mat,4.6/5,cau treo chup anh tham quan,Cầu Treo Kon Klor,Kon Tum,"Cây cầu treo lớn và đẹp nhất ở Kon Tum, bắc qua sông Đăk Bla, được bao quanh bởi những cánh đồng lúa và núi rừng xanh mát",cau treo kon klor kon tum cay cau treo lon va dep nhat o kon tum bac qua song dak bla duoc bao quanh boi nhung canh dong lua va nui rung xanh mat cau treo chup anh tham quan cau treo chup anh tham quan,https://www.google.com/maps/search/?api=1&query=C%E1%BA%A7u%20Treo%20Kon%20Klor%20Kon%20Tum
vuon quoc gia chu mom ray,kon tum,la khu bao ton thien nhien lon nhat viet nam noi bat voi he sinh thai phong phu nhung canh rung nguyen sinh va dong vat quy hiem,4.5/5,rung tham quan chup anh,Vườn Quốc Gia Chư Mom Ray,Kon Tum,"Là khu bảo tồn thiên nhiên lớn nhất Việt Nam, nổi bật với hệ sinh thái phong phú, những cánh rừng nguyên sinh và động vật quý hiếm",vuon quoc gia chu mom ray kon tum la khu bao ton thien nhien lon nhat viet nam noi bat voi he sinh thai phong phu nhung canh rung nguyen sinh va dong vat quy hiem rung tham quan chup anh rung tham quan chup anh,https://www.google.com/maps/search/?api=1&query=V%C6%B0%E1%BB%9Dn%20Qu%E1%BB%91c%20Gia%20Ch%C6%B0%20Mom%20Ray%20Kon%20Tum
dinh ngoc linh,kon tum,ngon nui cao nhat o tay nguyen thuoc day truong son la noi sinh song cua nhieu loai dong thuc vat quy hiem,4.4/5,nui tham hiem chup anh,Đỉnh Ngọc Linh,Kon Tum,"Ngọn núi cao nhất ở Tây Nguyên, thuộc dãy Trường Sơn, là nơi sinh sống của nhiều loài động thực vật quý hiếm.",dinh ngoc linh kon tum ngon nui cao nhat o tay nguyen thuoc day truong son la noi sinh song cua nhieu loai dong thuc vat quy hiem nui tham hiem chup anh nui tham hiem chup anh,https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BB%89nh%20Ng%E1%BB%8Dc%20Linh%20Kon%20Tum
thac dak to,kon tum,nam gan thi tran dak to thac nuoc nay hoang so va yen binh la dia diem ly tuong de thu gian giua thien nhien,4.3/5,thac suoi tham quan chup anh,Thác Đắk Tô,Kon Tum,"Nằm gần thị trấn Đắk Tô, thác nước này hoang sơ và yên bình, là địa điểm lý tưởng để thư giãn giữa thiên nhiên",thac dak to kon tum nam gan thi tran dak to thac nuoc nay hoang so va yen binh la dia diem ly tuong de thu gian giua thien nhien thac suoi tham quan chup anh thac suoi tham quan chup anh,https://www.google.com/maps/search/?api=1&query=Th%C3%A1c%20%C4%90%E1%BA%AFk%20T%C3%B4%20Kon%20Tum
deo o quy ho,lai chau,mot trong tu dai dinh deo cua tay bac deo o quy ho noi lien lao cai va lai chau noi tieng voi canh sac tuyet dep va do cao hung vi,4.5/5,deo tham quan chup anh,Đèo Ô Quy Hồ,Lai Châu,"Một trong ""Tứ đại đỉnh đèo"" của Tây Bắc, Đèo Ô Quy Hồ nối liền Lào Cai và Lai Châu, nổi tiếng với cảnh sắc tuyệt đẹp và độ cao hùng vĩ",deo o quy ho lai chau mot trong tu dai dinh deo cua tay bac deo o quy ho noi lien lao cai va lai chau noi tieng voi canh sac tuyet dep va do cao hung vi deo tham quan chup anh deo tham quan chup anh,https://www.google.com/maps/search/?api=1&query=%C4%90%C3%A8o%20%C3%94%20Quy%20H%E1%BB%93%20Lai%20Ch%C3%A2u
dinh pu ta leng,lai chau,dinh nui cao thu hai viet nam 3 049m thuoc day hoang lien son duoc menh danh la noc nha thu hai cua dong duong,4.6/5,nui tham hiem chup anh kham pha,Đỉnh Pu Ta Leng,Lai Châu,"Đỉnh núi cao thứ hai Việt Nam (3.049m), thuộc dãy Hoàng Liên Sơn, được mệnh danh là ""nóc nhà thứ hai"" của Đông Dương.",dinh pu ta leng lai chau dinh nui cao thu hai viet nam 3 049m thuoc day hoang lien son duoc menh danh la noc nha thu hai cua dong duong nui tham hiem chup anh kham pha nui tham hiem chup anh kham pha,https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BB%89nh%20Pu%20Ta%20Leng%20Lai%20Ch%C3%A2u
canh dong muong than,lai chau,vao mua lua chin canh dong muong than ruc ro sac vang tao nen mot buc tranh thien nhien tho mong,4.7/5,canh dong chup anh tham quan,Cánh đồng Mường Than,Lai Châu,"Vào mùa lúa chín, cánh đồng Mường Than rực rỡ sắc vàng, tạo nên một bức tranh thiên nhiên thơ mộng",canh dong muong than lai chau vao mua lua chin canh dong muong than ruc ro sac vang tao nen mot buc tranh thien nhien tho mong canh dong chup anh tham quan canh dong chup anh tham quan,https://www.google.com/maps/search/?api=1&query=C%C3%A1nh%20%C4%91%E1%BB%93ng%20M%C6%B0%E1%BB%9Dng%20Than%20Lai%20Ch%C3%A2u
ho thuy dien lai chau,lai chau,ho nuoc nhan tao khong lo duoc tao nen tu cong trinh thuy dien lai chau nam giua khung canh nui non tho mong,4.5/5,ho thuy dien tham quan chup anh,Hồ Thủy Điện Lai Châu,Lai Châu,"Hồ nước nhân tạo khổng lồ được tạo nên từ công trình Thủy điện Lai Châu, nằm giữa khung cảnh núi non thơ mộng.",ho thuy dien lai chau lai chau ho nuoc nhan tao khong lo duoc tao nen tu cong trinh thuy dien lai chau nam giua khung canh nui non tho mong ho thuy dien tham quan chup anh ho thuy dien tham quan chup anh,https://www.google.com/maps/search/?api=1&query=H%E1%BB%93%20Th%E1%BB%A7y%20%C4%90i%E1%BB%87n%20Lai%20Ch%C3%A2u%20Lai%20Ch%C3%A2u
cho phien sin ho,lai chau,noi dien ra cac hoat dong mua ban nhon nhip cua cac dan toc thai h mong dao lu,4.3/5,cho an uong tham quan van hoa,Chợ phiên Sìn Hồ,Lai Châu,"Nơi diễn ra các hoạt động mua bán nhộn nhịp của các dân tộc Thái, H’Mông, Dao, Lự...",cho phien sin ho lai chau noi dien ra cac hoat dong mua ban nhon nhip cua cac dan toc thai h mong dao lu cho an uong tham quan van hoa cho an uong tham quan van hoa,https://www.google.com/maps/search/?api=1&query=Ch%E1%BB%A3%20phi%C3%AAn%20S%C3%ACn%20H%E1%BB%93%20Lai%20Ch%C3%A2u
ho xuan huong,lam dong,bieu tuong cua da lat ho nam ngay trung tam thanh pho bao quanh boi rung thong va nhung vuon hoa,4.7/5,ho chup anh tham quan vui choi,Hồ Xuân Hương,Lâm Đồng,"Biểu tượng của Đà Lạt, hồ nằm ngay trung tâm thành phố, bao quanh bởi rừng thông và những vườn hoa.",ho xuan huong lam dong bieu tuong cua da lat ho nam ngay trung tam thanh pho bao quanh boi rung thong va nhung vuon hoa ho chup anh tham quan vui choi ho chup anh tham quan vui choi,https://www.google.com/maps/search/?api=1&query=H%E1%BB%93%20Xu%C3%A2n%20H%C6%B0%C6%A1ng%20L%C3%A2m%20%C4%90%E1%BB%93ng
thien vien truc lam,lam dong,mot thien vien noi tieng toa lac gan ho tuyen lam mang kien truc thanh tinh va khong gian yen binh,4.6/5,chua tham quan van hoa,Thiền Viện Trúc Lâm,Lâm Đồng,"Một thiền viện nổi tiếng tọa lạc gần Hồ Tuyền Lâm, mang kiến trúc thanh tịnh và không gian yên bình.",thien vien truc lam lam dong mot thien vien noi tieng toa lac gan ho tuyen lam mang kien truc thanh tinh va khong gian yen binh chua tham quan van hoa chua tham quan van hoa,https://www.google.com/maps/search/?api=1&query=Thi%E1%BB%81n%20Vi%E1%BB%87n%20Tr%C3%BAc%20L%C3%A2m%20L%C3%A2m%20%C4%90%E1%BB%93ng
cho dem da lat,lam dong,cho dem da lat la noi ban co the thuong thuc dac san nhu banh trang nuong sua dau nanh va mua qua luu niem,4.8/5,cho an uong tham quan van hoa,Chợ Đêm Đà Lạt,Lâm Đồng,"Chợ đêm Đà Lạt là nơi bạn có thể thưởng thức đặc sản như bánh tráng nướng, sữa đậu nành và mua quà lưu niệm.",cho dem da lat lam dong cho dem da lat la noi ban co the thuong thuc dac san nhu banh trang nuong sua dau nanh va mua qua luu niem cho an uong tham quan van hoa cho an uong tham quan van hoa,https://www.google.com/maps/search/?api=1&query=Ch%E1%BB%A3%20%C4%90%C3%AAm%20%C4%90%C3%A0%20L%E1%BA%A1t%20L%C3%A2m%20%C4%90%E1%BB%93ng
dinh bao dai,lam dong,mot trong ba dinh thu cua vua bao dai tai da lat mang phong cach kien truc phap tinh te,4.5/5,di tich lich su van hoa tham quan chup anh,Dinh Bảo Đại,Lâm Đồng,"Một trong ba dinh thự của vua Bảo Đại tại Đà Lạt, mang phong cách kiến trúc Pháp tinh tế.",dinh bao dai lam dong mot trong ba dinh thu cua vua bao dai tai da lat mang phong cach kien truc phap tinh te di tich lich su van hoa tham quan chup anh di tich lich su van hoa tham quan chup anh,https://www.google.com/maps/search/?api=1&query=Dinh%20B%E1%BA%A3o%20%C4%90%E1%BA%A1i%20L%C3%A2m%20%C4%90%E1%BB%93ng
thac voi,lam dong,toa lac o nam ban thac voi hung vi va hoang so la noi ly tuong cho nhung ai yeu thich kham pha thien nhien,4.5/5,thac suoi tham quan chup anh,Thác Voi,Lâm Đồng,"Tọa lạc ở Nam Ban, thác Voi hùng vĩ và hoang sơ, là nơi lý tưởng cho những ai yêu thích khám phá thiên nhiên.",thac voi lam dong toa lac o nam ban thac voi hung vi va hoang so la noi ly tuong cho nhung ai yeu thich kham pha thien nhien thac suoi tham quan chup anh thac suoi tham quan chup anh,https://www.google.com/maps/search/?api=1&query=Th%C3%A1c%20Voi%20L%C3%A2m%20%C4%90%E1%BB%93ng
dong tam thanh,lang son,duoc menh danh la de nhat bat canh xu lang cac nhu da ky thu va nhieu di tich co nhu tuong phat a di da cao 2m duoc tac tu the ky 15,4.2/5,dong tham quan tham hiem chup anh,Động Tam Thanh,Lạng Sơn,"Được mệnh danh là ""Đệ nhất bát cảnh Xứ Lạng""các nhũ đá kỳ thú và nhiều di tích cổ như tượng Phật A Di Đà cao 2m được tạc từ thế kỷ 15.",dong tam thanh lang son duoc menh danh la de nhat bat canh xu lang cac nhu da ky thu va nhieu di tich co nhu tuong phat a di da cao 2m duoc tac tu the ky 15 dong tham quan tham hiem chup anh dong tham quan tham hiem chup anh,https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BB%99ng%20Tam%20Thanh%20L%E1%BA%A1ng%20S%C6%A1n
cho dong kinh,lang son,la trung tam thuong mai lon nhat o lang son noi tieng voi cac mat hang phong phu,4.5/5,cho an uong tham quan van hoa mua sam,Chợ Đông Kinh,Lạng Sơn,"Là trung tâm thương mại lớn nhất ở Lạng Sơn, nổi tiếng với các mặt hàng phong phú",cho dong kinh lang son la trung tam thuong mai lon nhat o lang son noi tieng voi cac mat hang phong phu cho an uong tham quan van hoa mua sam cho an uong tham quan van hoa mua sam,https://www.google.com/maps/search/?api=1&query=Ch%E1%BB%A3%20%C4%90%C3%B4ng%20Kinh%20L%E1%BA%A1ng%20S%C6%A1n
cua khau huu nghi,lang son,day la cua khau quoc te lon giua viet nam va trung quoc nam tren tuyen quoc lo 1a,4.7/5,tham quan mua sam van hoa chup anh,Cửa khẩu Hữu Nghị,Lạng Sơn,"Đây là cửa khẩu quốc tế lớn giữa Việt Nam và Trung Quốc, nằm trên tuyến quốc lộ 1A.",cua khau huu nghi lang son day la cua khau quoc te lon giua viet nam va trung quoc nam tren tuyen quoc lo 1a tham quan mua sam van hoa chup anh tham quan mua sam van hoa chup anh,https://www.google.com/maps/search/?api=1&query=C%E1%BB%ADa%20kh%E1%BA%A9u%20H%E1%BB%AFu%20Ngh%E1%BB%8B%20L%E1%BA%A1ng%20S%C6%A1n
deo bong lau,lang son,la mot cung deo dep voi nhung khuc cua uon luon va khung canh thien nhien ngoan muc,4.2/5,tham quan chup anh,Đèo Bông Lau,Lạng Sơn,Là một cung đèo đẹp với những khúc cua uốn lượn và khung cảnh thiên nhiên ngoạn mục.,deo bong lau lang son la mot cung deo dep voi nhung khuc cua uon luon va khung canh thien nhien ngoan muc tham quan chup anh tham quan chup anh,https://www.google.com/maps/search/?api=1&query=%C4%90%C3%A8o%20B%C3%B4ng%20Lau%20L%E1%BA%A1ng%20S%C6%A1n
chua tien,lang son,chua tien nam tren nui dai tuong gan lien voi nhieu cau chuyen huyen thoai va mang dam dau an phat giao,4.3/5,chua tham quan van hoa,Chùa Tiên,Lạng Sơn,"Chùa Tiên nằm trên núi Đại Tượng, gắn liền với nhiều câu chuyện huyền thoại và mang đậm dấu ấn Phật giáo.",chua tien lang son chua tien nam tren nui dai tuong gan lien voi nhieu cau chuyen huyen thoai va mang dam dau an phat giao chua tham quan van hoa chua tham quan van hoa,https://www.google.com/maps/search/?api=1&query=Ch%C3%B9a%20Ti%C3%AAn%20L%E1%BA%A1ng%20S%C6%A1n
dinh nui fansipan,lao cai,fansipan duoc menh danh la noc nha dong duong voi do cao 3 147m,4.8/5,nui tham quan tham hiem chup anh,Đỉnh Núi Fansipan,Lào Cai,Fansipan được mệnh danh là “Nóc nhà Đông Dương” với độ cao 3.147m.,dinh nui fansipan lao cai fansipan duoc menh danh la noc nha dong duong voi do cao 3 147m nui tham quan tham hiem chup anh nui tham quan tham hiem chup anh,https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BB%89nh%20N%C3%BAi%20Fansipan%20L%C3%A0o%20Cai
cong troi o quy ho,lao cai,deo o quy ho la mot trong tu dai dinh deo cua tay bac noi lien lao cai va lai chau,4.5/5,deo tham quan chup anh,Cổng Trời Ô Quy Hồ,Lào Cai,"Đèo Ô Quy Hồ là một trong ""Tứ đại đỉnh đèo"" của Tây Bắc, nối liền Lào Cai và Lai Châu.",cong troi o quy ho lao cai deo o quy ho la mot trong tu dai dinh deo cua tay bac noi lien lao cai va lai chau deo tham quan chup anh deo tham quan chup anh,https://www.google.com/maps/search/?api=1&query=C%E1%BB%95ng%20Tr%E1%BB%9Di%20%C3%94%20Quy%20H%E1%BB%93%20L%C3%A0o%20Cai
cho phien bac ha,lao cai,cho phien bac ha noi tieng voi cac mat hang tho cam nong san va cac mon an dac trung cua nguoi dan toc h mong dao,4.3/5,cho tham quan an uong mua sam,Chợ phiên Bắc Hà,Lào Cai,"Chợ phiên Bắc Hà nổi tiếng với các mặt hàng thổ cẩm, nông sản và các món ăn đặc trưng của người dân tộc H’Mông, Dao.",cho phien bac ha lao cai cho phien bac ha noi tieng voi cac mat hang tho cam nong san va cac mon an dac trung cua nguoi dan toc h mong dao cho tham quan an uong mua sam cho tham quan an uong mua sam,https://www.google.com/maps/search/?api=1&query=Ch%E1%BB%A3%20phi%C3%AAn%20B%E1%BA%AFc%20H%C3%A0%20L%C3%A0o%20Cai
thac tinh yeu,lao cai,la mot diem den lang man voi dong nuoc trong xanh chay qua rung nguyen sinh,4.5/5,thac suoi tham quan chup anh,Thác Tình Yêu,Lào Cai,Là một điểm đến lãng mạn với dòng nước trong xanh chảy qua rừng nguyên sinh.,thac tinh yeu lao cai la mot diem den lang man voi dong nuoc trong xanh chay qua rung nguyen sinh thac suoi tham quan chup anh thac suoi tham quan chup anh,https://www.google.com/maps/search/?api=1&query=Th%C3%A1c%20T%C3%ACnh%20Y%C3%AAu%20L%C3%A0o%20Cai
den thuong,lao cai,la noi tho tran hung dao vi tuong tai ba trong lich su viet nam,4.3/5,den tham quan chup anh lich su,Đền Thượng,Lào Cai,"Là nơi thờ Trần Hưng Đạo, vị tướng tài ba trong lịch sử Việt Nam.",den thuong lao cai la noi tho tran hung dao vi tuong tai ba trong lich su viet nam den tham quan chup anh lich su den tham quan chup anh lich su,https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BB%81n%20Th%C6%B0%E1%BB%A3ng%20L%C3%A0o%20Cai
lang noi tan lap,long an,la khu rung tram ngap nuoc rong lon noi tieng voi con duong xuyen rung dai gan 5km,4.4/5,rung tham quan chup anh,Làng nổi Tân Lập,Long An,"Là khu rừng tràm ngập nước rộng lớn, nổi tiếng với con đường xuyên rừng dài gần 5km.",lang noi tan lap long an la khu rung tram ngap nuoc rong lon noi tieng voi con duong xuyen rung dai gan 5km rung tham quan chup anh rung tham quan chup anh,https://www.google.com/maps/search/?api=1&query=L%C3%A0ng%20n%E1%BB%95i%20T%C3%A2n%20L%E1%BA%ADp%20Long%20An
nha co tram cot,long an,la mot ngoi nha co doc dao voi 120 cot go quy duoc cham khac tinh xao,4.5/5,tham quan chup anh van hoa di tich,Nhà cổ Trăm Cột,Long An,Là một ngôi nhà cổ độc đáo với 120 cột gỗ quý được chạm khắc tinh xảo.,nha co tram cot long an la mot ngoi nha co doc dao voi 120 cot go quy duoc cham khac tinh xao tham quan chup anh van hoa di tich tham quan chup anh van hoa di tich,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20c%E1%BB%95%20Tr%C4%83m%20C%E1%BB%99t%20Long%20An
chua ton thanh,long an,ngoi chua nay la noi cu nguyen dinh chieu tung o va sang tac bai van te van te nghia si can giuoc,4.6/5,chua tham quan van hoa,Chùa Tôn Thạnh,Long An,"Ngôi chùa này là nơi cụ Nguyễn Đình Chiểu từng ở và sáng tác bài văn tế ""Văn tế nghĩa sĩ Cần Giuộc"".",chua ton thanh long an ngoi chua nay la noi cu nguyen dinh chieu tung o va sang tac bai van te van te nghia si can giuoc chua tham quan van hoa chua tham quan van hoa,https://www.google.com/maps/search/?api=1&query=Ch%C3%B9a%20T%C3%B4n%20Th%E1%BA%A1nh%20Long%20An
song vam co,long an,hai dong song lon chay qua long an tao nen ve dep song nuoc dac trung,4.2/5,song tham quan chup anh,Sông Vàm Cỏ,Long An,Hai dòng sông lớn chảy qua Long An tạo nên vẻ đẹp sông nước đặc trưng.,song vam co long an hai dong song lon chay qua long an tao nen ve dep song nuoc dac trung song tham quan chup anh song tham quan chup anh,https://www.google.com/maps/search/?api=1&query=S%C3%B4ng%20V%C3%A0m%20C%E1%BB%8F%20Long%20An
cho dem tan an,long an,la noi ly tuong de thuong thuc am thuc dia phuong va mua sam cac dac san long an,4.7/5,cho tham quan an uong mua sam,Chợ đêm Tân An,Long An,Là nơi lý tưởng để thưởng thức ẩm thực địa phương và mua sắm các đặc sản Long An,cho dem tan an long an la noi ly tuong de thuong thuc am thuc dia phuong va mua sam cac dac san long an cho tham quan an uong mua sam cho tham quan an uong mua sam,https://www.google.com/maps/search/?api=1&query=Ch%E1%BB%A3%20%C4%91%C3%AAm%20T%C3%A2n%20An%20Long%20An
nha tho phu nhai,nam dinh,la mot trong nhung nha tho lon va co kinh nhat viet nam mang phong cach kien truc gothic dac sac,4.5/5,nha tho tham quan chup anh,Nhà thờ Phú Nhai,Nam Đinh,"Là một trong những nhà thờ lớn và cổ kính nhất Việt Nam, mang phong cách kiến trúc Gothic đặc sắc.",nha tho phu nhai nam dinh la mot trong nhung nha tho lon va co kinh nhat viet nam mang phong cach kien truc gothic dac sac nha tho tham quan chup anh nha tho tham quan chup anh,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20th%E1%BB%9D%20Ph%C3%BA%20Nhai%20Nam%20%C4%90inh
den tran,nam dinh,nam tai phuong loc vuong thanh pho nam dinh den tran tho cac vua nha tran gan lien voi lich su hao hung cua trieu dai nay,4.3/5,den tham quan chup anh lich su,Đền Trần,Nam Đinh,"Nằm tại phường Lộc Vượng, thành phố Nam Định, đền Trần thờ các vua nhà Trần, gắn liền với lịch sử hào hùng của triều đại này.",den tran nam dinh nam tai phuong loc vuong thanh pho nam dinh den tran tho cac vua nha tran gan lien voi lich su hao hung cua trieu dai nay den tham quan chup anh lich su den tham quan chup anh lich su,https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BB%81n%20Tr%E1%BA%A7n%20Nam%20%C4%90inh
vuon quoc gia xuan thuy,nam dinh,day la khu bao ton thien nhien nam o huyen giao thuy thuoc vung ha luu song hong,4.6/5,rung tham quan chup anh,Vườn quốc gia Xuân Thủy,Nam Đinh,"Đây là khu bảo tồn thiên nhiên nằm ở huyện Giao Thủy, thuộc vùng hạ lưu sông Hồng.",vuon quoc gia xuan thuy nam dinh day la khu bao ton thien nhien nam o huyen giao thuy thuoc vung ha luu song hong rung tham quan chup anh rung tham quan chup anh,https://www.google.com/maps/search/?api=1&query=V%C6%B0%E1%BB%9Dn%20qu%E1%BB%91c%20gia%20Xu%C3%A2n%20Th%E1%BB%A7y%20Nam%20%C4%90inh
cho vieng,nam dinh,la phien cho dac biet chi dien ra mot lan trong nam vao dem mung 7 rang sang mung 8 thang gieng am lich,4.6/5,cho tham quan an uong mua sam,Chợ Viềng,Nam Đinh,"Là phiên chợ đặc biệt chỉ diễn ra một lần trong năm vào đêm mùng 7, rạng sáng mùng 8 tháng Giêng âm lịch.",cho vieng nam dinh la phien cho dac biet chi dien ra mot lan trong nam vao dem mung 7 rang sang mung 8 thang gieng am lich cho tham quan an uong mua sam cho tham quan an uong mua sam,https://www.google.com/maps/search/?api=1&query=Ch%E1%BB%A3%20Vi%E1%BB%81ng%20Nam%20%C4%90inh
